"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 13 19:46:13 GMT 2024","Sat Jan 13 19:46:14 GMT 2024","1061","test","test_hootel","TestHootel","","","test_hotel_list",""
"broken","Sat Jan 13 19:46:04 GMT 2024","Sat Jan 13 19:46:11 GMT 2024","6354","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Sat Jan 13 19:46:00 GMT 2024","Sat Jan 13 19:46:02 GMT 2024","2086","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
