"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 13 20:12:44 GMT 2024","Sat Jan 13 20:12:45 GMT 2024","1062","test","test_hootel","TestHootel","","","test_hotel_list",""
"broken","Sat Jan 13 20:12:36 GMT 2024","Sat Jan 13 20:12:41 GMT 2024","5153","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
